,0
2096,21061
2097,21084
2098,21085
2099,21087
2100,21097
2101,21104
2102,21112
2103,21123
2104,21130
2105,21139
2106,21142
2107,21171
2108,21173
2109,21185
2110,21186
2111,21197
2112,21215
2113,21219
2114,21222
2115,21223
2116,21231
2117,21248
2118,21307
2119,21310
2120,21314
2121,21315
2122,21337
2123,21341
2124,21348
2125,21352
2126,21367
2127,21393
2128,21394
2129,21406
2130,21461
2131,21483
2132,21497
2133,21499
2134,21502
2135,21507
2136,21557
2137,21575
2138,21581
2139,21582
2140,21587
2141,21606
2142,21618
2143,21632
2144,21637
2145,21642
2146,21646
2147,21660
2148,21671
2149,21702
2150,21703
2151,21720
2152,21721
2153,21742
2154,21747
2155,21763
2156,21769
2157,21781
2158,21782
2159,21790
2160,21796
2161,21797
2162,21801
2163,21837
2164,21839
2165,21844
2166,21848
2167,21862
2168,21864
2169,21869
2170,21881
2171,21892
2172,21905
2173,21916
2174,21932
2175,21934
2176,21941
2177,21943
2178,21949
2179,21955
2180,21965
2181,21969
2182,21972
2183,21975
2184,21976
2185,22013
2186,22022
2187,22023
2188,22038
2189,22040
2190,22047
2191,22064
2192,22084
2193,22117
2194,22121
2195,22130
2196,22135
2197,22160
2198,22184
2199,22198
2200,22199
2201,22206
2202,22211
2203,22215
2204,22240
2205,22243
2206,22254
2207,22257
2208,22280
2209,22297
2210,22299
2211,22304
2212,22310
2213,22313
2214,22321
2215,22329
2216,22354
2217,22355
2218,22362
2219,22363
2220,22366
2221,22370
2222,22379
2223,22384
2224,22401
2225,22409
2226,22436
2227,22443
2228,22447
2229,22467
2230,22489
2231,22492
2232,22570
2233,22582
2234,22591
2235,22597
2236,22605
2237,22612
2238,22619
2239,22620
2240,22624
2241,22648
2242,22651
2243,22660
2244,22677
2245,22694
2246,22697
2247,22727
2248,22728
2249,22785
2250,22796
2251,22797
2252,22804
2253,22807
2254,22814
2255,22829
2256,22836
2257,22838
2258,22842
2259,22853
2260,22856
2261,22858
2262,22863
2263,22867
2264,22873
2265,22876
2266,22892
2267,22894
2268,22903
2269,22929
2270,22930
2271,22957
2272,22958
2273,22964
2274,22967
2275,22972
2276,22973
2277,22985
2278,22993
2279,23008
2280,23026
2281,23042
2282,23063
2283,23072
2284,23073
2285,23075
2286,23090
2287,23101
2288,23123
2289,23127
2290,23179
2291,23205
2292,23208
2293,23221
2294,23225
2295,23244
2296,23260
2297,23280
2298,23283
2299,23301
2300,23302
2301,23313
2302,23332
2303,23349
2304,23369
2305,23378
2306,23385
2307,23393
2308,23431
2309,23436
2310,23439
2311,23444
2312,23446
2313,23449
2314,23462
2315,23473
2316,23491
2317,23493
2318,23525
2319,23536
2320,23543
2321,23556
2322,23573
2323,23581
2324,23595
2325,23641
2326,23651
2327,23655
2328,23679
2329,23681
2330,23687
2331,23702
2332,23707
2333,23718
2334,23742
2335,23755
2336,23758
2337,23784
2338,23804
2339,23819
2340,23822
2341,23827
2342,23831
2343,23847
2344,23881
2345,23883
2346,23891
2347,23905
2348,23918
2349,23920
2350,23922
2351,23931
2352,23932
2353,23946
2354,23953
2355,23958
2356,23970
2357,23974
2358,23978
2359,23987
2360,23995
2361,23998
2362,24009
2363,24010
2364,24029
2365,24038
2366,24047
2367,24061
2368,24064
